Germany,23-Jan-20,0
Germany,24-Jan-20,0
Germany,25-Jan-20,0
Germany,26-Jan-20,0
Germany,27-Jan-20,1
Germany,28-Jan-20,3
Germany,29-Jan-20,0
Germany,30-Jan-20,0
Germany,31-Jan-20,1
Germany,01-Feb-20,3
Germany,02-Feb-20,2
Germany,03-Feb-20,2
Germany,04-Feb-20,0
Germany,05-Feb-20,0
Germany,06-Feb-20,0
Germany,07-Feb-20,1
Germany,08-Feb-20,0
Germany,09-Feb-20,1
Germany,10-Feb-20,0
Germany,11-Feb-20,2
Germany,12-Feb-20,0
Germany,13-Feb-20,0
Germany,14-Feb-20,0
Germany,15-Feb-20,0
Germany,16-Feb-20,0
Germany,17-Feb-20,0
Germany,18-Feb-20,0
Germany,19-Feb-20,0
Germany,20-Feb-20,0
Germany,21-Feb-20,0
Germany,22-Feb-20,0
Germany,23-Feb-20,0
Germany,24-Feb-20,0
Germany,25-Feb-20,1
Germany,26-Feb-20,10
Germany,27-Feb-20,19
Germany,28-Feb-20,2
Germany,29-Feb-20,31
Germany,01-Mar-20,51
Germany,02-Mar-20,29
Germany,03-Mar-20,37
Germany,04-Mar-20,66
Germany,05-Mar-20,220
Germany,06-Mar-20,188
Germany,07-Mar-20,129
Germany,08-Mar-20,241
Germany,09-Mar-20,136
Germany,10-Mar-20,281
Germany,11-Mar-20,451
Germany,12-Mar-20,170
Germany,13-Mar-20,1597
Germany,14-Mar-20,910
Germany,15-Mar-20,1210
Germany,16-Mar-20,1477
Germany,17-Mar-20,1985
Germany,18-Mar-20,3070
Germany,19-Mar-20,2993
Germany,20-Mar-20,4528
Germany,21-Mar-20,2365
Germany,22-Mar-20,2660
Germany,23-Mar-20,4183
Germany,24-Mar-20,3930
Germany,25-Mar-20,4337
Germany,26-Mar-20,6615
Germany,27-Mar-20,6933
Germany,28-Mar-20,6824
Germany,29-Mar-20,4400
Germany,30-Mar-20,4790
Germany,31-Mar-20,4923
Germany,01-Apr-20,6064
Germany,02-Apr-20,6922
Germany,03-Apr-20,6365
Germany,04-Apr-20,4933
Germany,05-Apr-20,4031
Germany,06-Apr-20,3251
Germany,07-Apr-20,4289
Germany,08-Apr-20,5633
Germany,09-Apr-20,4885
Germany,10-Apr-20,3990
Germany,11-Apr-20,2737
Germany,12-Apr-20,2946
Germany,13-Apr-20,2218
Germany,14-Apr-20,1287
Germany,15-Apr-20,3394
Germany,16-Apr-20,2945
Germany,17-Apr-20,3699
Germany,18-Apr-20,1945
Germany,19-Apr-20,1842
Germany,20-Apr-20,1881
Germany,21-Apr-20,1226
Germany,22-Apr-20,2357
Germany,23-Apr-20,2481
Germany,24-Apr-20,1870
Germany,25-Apr-20,1514
Germany,26-Apr-20,1257
Germany,27-Apr-20,988
Germany,28-Apr-20,1154
Germany,29-Apr-20,1627
Germany,30-Apr-20,1470
Germany,01-May-20,1068
Germany,02-May-20,890
Germany,03-May-20,697
Germany,04-May-20,488
Germany,05-May-20,855
Germany,06-May-20,1155
Germany,07-May-20,1268
Germany,08-May-20,1158
Germany,09-May-20,736
Germany,10-May-20,555
Germany,11-May-20,697
Germany,12-May-20,595
Germany,13-May-20,927
Germany,14-May-20,380
Germany,15-May-20,755
Germany,16-May-20,519
Germany,17-May-20,617
Germany,18-May-20,182
Germany,19-May-20,1227
Germany,20-May-20,695
Germany,21-May-20,548
Germany,22-May-20,689
Germany,23-May-20,276
Germany,24-May-20,342
Germany,25-May-20,272
Germany,26-May-20,600
Germany,27-May-20,324
Germany,28-May-20,672
Germany,29-May-20,726
Germany,30-May-20,267
Germany,31-May-20,221
Germany,01-Jun-20,184
Germany,02-Jun-20,285
Germany,03-Jun-20,242
Germany,04-Jun-20,351
Germany,05-Jun-20,452
Germany,06-Jun-20,526
Germany,07-Jun-20,300
Germany,08-Jun-20,359
Germany,09-Jun-20,397
Germany,10-Jun-20,16
Germany,11-Jun-20,169
Germany,12-Jun-20,535
Germany,13-Jun-20,41
Germany,14-Jun-20,251
Germany,15-Jun-20,164
Germany,16-Jun-20,570
Germany,17-Jun-20,352
Germany,18-Jun-20,1213
Germany,19-Jun-20,482
Germany,20-Jun-20,371
Germany,21-Jun-20,602
Germany,22-Jun-20,496
Germany,23-Jun-20,712
Germany,24-Jun-20,391
Germany,25-Jun-20,500
Germany,26-Jun-20,665
Germany,27-Jun-20,422
Germany,28-Jun-20,235
Germany,29-Jun-20,349
Germany,30-Jun-20,376
Germany,01-Jul-20,475
Germany,02-Jul-20,477
Germany,03-Jul-20,410
Germany,04-Jul-20,418
Germany,05-Jul-20,325
Germany,06-Jul-20,541
Germany,07-Jul-20,279
Germany,08-Jul-20,356
Germany,09-Jul-20,302
Germany,10-Jul-20,331
Germany,11-Jul-20,377
Germany,12-Jul-20,210
Germany,13-Jul-20,261
Germany,14-Jul-20,276
Germany,15-Jul-20,434
Germany,16-Jul-20,560
Germany,17-Jul-20,595
Germany,18-Jul-20,381
Germany,19-Jul-20,309
Germany,20-Jul-20,590
Germany,21-Jul-20,392
Germany,22-Jul-20,559
Germany,23-Jul-20,605
Germany,24-Jul-20,742
Germany,25-Jul-20,655
Germany,26-Jul-20,389
Germany,27-Jul-20,445
Germany,28-Jul-20,595
Germany,29-Jul-20,839
Germany,30-Jul-20,989
Germany,31-Jul-20,864
Germany,01-Aug-20,606
Germany,02-Aug-20,215
Germany,03-Aug-20,891
Germany,04-Aug-20,717
Germany,05-Aug-20,1285
Germany,06-Aug-20,926
Germany,07-Aug-20,1157
Germany,08-Aug-20,707
Germany,09-Aug-20,385
Germany,10-Aug-20,1220
Germany,11-Aug-20,1032
Germany,12-Aug-20,1319
Germany,13-Aug-20,1422
Germany,14-Aug-20,1510
Germany,15-Aug-20,697
Germany,16-Aug-20,519
Germany,17-Aug-20,1693
Germany,18-Aug-20,1420
Germany,19-Aug-20,1586
Germany,20-Aug-20,1586
Germany,21-Aug-20,1737
Germany,22-Aug-20,832
Germany,23-Aug-20,633
Germany,24-Aug-20,1628
Germany,25-Aug-20,1461
Germany,26-Aug-20,1427
Germany,27-Aug-20,1561
Germany,28-Aug-20,1555
Germany,29-Aug-20,709
Germany,30-Aug-20,470
Germany,31-Aug-20,1497
Germany,01-Sep-20,1213
Germany,02-Sep-20,1396
Germany,03-Sep-20,1429
Germany,04-Sep-20,1443
Germany,05-Sep-20,775
Germany,06-Sep-20,670
Germany,07-Sep-20,1898
Germany,08-Sep-20,1331
Germany,09-Sep-20,1476
Germany,10-Sep-20,1716
Germany,11-Sep-20,1586
Germany,12-Sep-20,1082
Germany,13-Sep-20,920
Germany,14-Sep-20,1485
Germany,15-Sep-20,1792
Germany,16-Sep-20,1855
Germany,17-Sep-20,2179
Germany,18-Sep-20,2199
Germany,19-Sep-20,1685
Germany,20-Sep-20,1033
Germany,21-Sep-20,1595
Germany,22-Sep-20,1852
Germany,23-Sep-20,1613
Germany,24-Sep-20,2321
Germany,25-Sep-20,2366
Germany,26-Sep-20,1314
Germany,27-Sep-20,1313
Germany,28-Sep-20,2292
Germany,29-Sep-20,1840
Germany,30-Sep-20,2442
Germany,01-Oct-20,2626
Germany,02-Oct-20,2835
Germany,03-Oct-20,1653
Germany,04-Oct-20,1546
Germany,05-Oct-20,3100
Germany,06-Oct-20,2454
Germany,07-Oct-20,4010
Germany,08-Oct-20,4804
Germany,09-Oct-20,4554
Germany,10-Oct-20,2968
Germany,11-Oct-20,2846
Germany,12-Oct-20,6541
Germany,13-Oct-20,4464
Germany,14-Oct-20,7173
Germany,15-Oct-20,7620
Germany,16-Oct-20,7695
Germany,17-Oct-20,4862
Germany,18-Oct-20,4007
Germany,19-Oct-20,8397
Germany,20-Oct-20,8523
Germany,21-Oct-20,12331
Germany,22-Oct-20,5952
Germany,23-Oct-20,13476
Germany,24-Oct-20,10458
Germany,25-Oct-20,9890
Germany,26-Oct-20,12560
Germany,27-Oct-20,13161
Germany,28-Oct-20,16202
Germany,29-Oct-20,18733
Germany,30-Oct-20,19382
Germany,31-Oct-20,14054
Germany,01-Nov-20,12556
Germany,02-Nov-20,25252
Germany,03-Nov-20,7533
Germany,04-Nov-20,31480
Germany,05-Nov-20,22561
Germany,06-Nov-20,22820
Germany,07-Nov-20,14122
Germany,08-Nov-20,14510
Germany,09-Nov-20,6522
Germany,10-Nov-20,26547
Germany,11-Nov-20,22401
Germany,12-Nov-20,24738
Germany,13-Nov-20,22261
Germany,14-Nov-20,14640
Germany,15-Nov-20,3213
Germany,16-Nov-20,14580
Germany,17-Nov-20,26231
Germany,18-Nov-20,23727
Germany,19-Nov-20,24041
Germany,20-Nov-20,22593
Germany,21-Nov-20,13872
Germany,22-Nov-20,4377
Germany,23-Nov-20,14455
Germany,24-Nov-20,16370
Germany,25-Nov-20,32687
Germany,26-Nov-20,21951
Germany,27-Nov-20,20819